Threads,sync_low,sync_mean,sync_high,tx_low,tx_mean,tx_high
2,7.1759,7.3693,7.5648,27.891,29.661,31.398
4,4.6488,4.6789,4.7109,27.754,29.14,30.614
6,4.1503,4.1613,4.1725,51.044,53.321,55.773
8,5.7211,5.7328,5.7444,59.633,61.81,64.214
10,8.9656,8.9939,9.0232,73.844,74.72,75.63
12,13.392,13.45,13.508,71.268,72.768,74.373
14,18.581,18.654,18.728,81.655,83.739,85.818
16,23.4,23.475,23.549,93.292,94.515,95.746
